Material,Temperature C,Viscosity (Pas),N1 (Pa),Shear rate (1/s),Geometry,Stress (Pa),Frequency (rad/s),G' (Pa),"G"" (Pa)",Complex viscosity (Pas)
LDPE,170,2.31E+04,,0.01,C&P,,,,,
LDPE,170,2.21E+04,,0.0215,C&P,,,,,
LDPE,170,2.01E+04,6.47E+02,0.0464,C&P,,,,,
LDPE,170,1.69E+04,1.22E+03,0.1,C&P,,,,,
LDPE,170,1.44E+04,3.72E+03,0.215,C&P,,,,,
LDPE,170,1.12E+04,1.07E+04,0.464,C&P,,,,,
LDPE,170,8.19E+03,2.65E+04,1,C&P,,,,,
LDPE,180,1.53E+04,,0.01,C&P,,,,,
LDPE,180,1.53E+04,,0.0215,C&P,,,,,
LDPE,180,1.45E+04,2.49E+02,0.0464,C&P,,,,,
LDPE,180,1.31E+04,6.85E+02,0.1,C&P,,,,,
LDPE,180,1.12E+04,2.18E+03,0.215,C&P,,,,,
LDPE,180,9.22E+03,5.05E+03,0.464,C&P,,,,,
LDPE,180,7.02E+03,1.33E+04,1,C&P,,,,,
LDPE,190,1.11E+04,,0.01,C&P,,,,,
LDPE,190,1.15E+04,,0.0215,C&P,,,,,
LDPE,190,1.13E+04,1.50E+02,0.0464,C&P,,,,,
LDPE,190,1.09E+04,5.57E+02,0.1,C&P,,,,,
LDPE,190,9.24E+03,1.77E+03,0.215,C&P,,,,,
LDPE,190,7.54E+03,5.10E+03,0.464,C&P,,,,,
LDPE,190,5.85E+03,1.31E+04,1,C&P,,,,,
LDPE,170,9.88E+02,,5.53E+01,Capillary,5.46E+04,,,,
LDPE,170,5.46E+02,,1.11E+02,Capillary,6.04E+04,,,,
LDPE,170,4.10E+02,,1.66E+02,Capillary,6.79E+04,,,,
LDPE,170,2.65E+02,,3.32E+02,Capillary,8.78E+04,,,,
LDPE,170,2.04E+02,,5.53E+02,Capillary,1.13E+05,,,,
LDPE,170,1.27E+02,,1.11E+03,Capillary,1.41E+05,,,,
LDPE,170,9.68E+01,,1.66E+03,Capillary,1.60E+05,,,,
LDPE,170,6.33E+01,,3.32E+03,Capillary,2.10E+05,,,,
LDPE,170,4.38E+01,,5.53E+03,Capillary,2.42E+05,,,,
LDPE,170,,,,,,0.1,5.85E+02,1.34E+03,1.46E+04
LDPE,170,,,,,,0.2154,1.19E+03,2.13E+03,1.13E+04
LDPE,170,,,,,,0.4642,2.20E+03,3.33E+03,8.60E+03
LDPE,170,,,,,,1,3.90E+03,5.01E+03,6.35E+03
LDPE,170,,,,,,2.154,6.48E+03,7.34E+03,4.54E+03
LDPE,170,,,,,,4.641,1.02E+04,1.03E+04,3.12E+03
LDPE,170,,,,,,10,1.56E+04,1.42E+04,2.11E+03
LDPE,170,,,,,,21.54,2.30E+04,1.94E+04,1.39E+03
LDPE,170,,,,,,46.41,3.29E+04,2.59E+04,9.01E+02
LDPE,170,,,,,,100,4.54E+04,3.37E+04,5.65E+02
LDPE,190,,,,,,0.1,3.29E+02,9.07E+02,9.65E+03
LDPE,190,,,,,,0.2154,7.28E+02,1.54E+03,7.89E+03
LDPE,190,,,,,,0.4642,1.46E+03,2.53E+03,6.28E+03
LDPE,190,,,,,,1,2.64E+03,3.88E+03,4.69E+03
LDPE,190,,,,,,2.154,4.59E+03,5.79E+03,3.43E+03
LDPE,190,,,,,,4.641,7.57E+03,8.48E+03,2.45E+03
LDPE,190,,,,,,10,1.19E+04,1.19E+04,1.69E+03
LDPE,190,,,,,,21.54,1.81E+04,1.67E+04,1.24E+03
